Map "Bosch II 16" (16x16)

-(-,-)/-

		-															
		0	410	819	1229	1638	2048	2458	2867	3277	3686	4096	4915	5734	6881	6963	8192
-	500	0	745	1075	1220	1220	1220	1220	1220	1220	1220	1220	1220	1220	1220	1920	1920
	700	0	624	955	1270	1270	1270	1270	1270	1270	1270	1270	1270	1270	1270	1970	1970
	1000	0	444	775	1105	1230	1230	1230	1230	1230	1230	1230	1230	1230	1230	1930	1930
	1250	0	295	625	955	1286	1616	1700	1700	1700	1700	1700	1700	1700	1768	2400	2400
	1500	0	146	476	806	1136	1467	1797	2127	2200	2200	2200	2233	2244	2333	3000	3000
	1750	0	31	328	658	988	1318	1648	1979	2309	2400	2400	2435	2448	2545	3500	3500
	2000	0	20	50	510	840	1170	1500	1831	2161	2400	2400	2435	2448	2545	3500	3500
	2250	0	17	32	362	692	1023	1353	1683	2013	2344	2360	2395	2407	2504	3500	3500
	2500	0	16	32	215	545	876	1206	1536	1866	2197	2310	2344	2356	2451	3500	3500
	2750	0	15	31	69	399	729	1059	1390	1720	2050	2260	2293	2305	2398	3500	3500
	3000	0	15	30	45	253	583	913	1244	1574	1904	2200	2233	2244	2333	3500	3500
	3500	0	14	27	41	55	293	623	953	1283	1614	1944	2121	2131	2216	3500	3500
	4000	0	13	27	40	54	67	334	665	995	1325	1655	1928	1938	2015	3500	3500
	4250	0	13	26	38	51	64	90	378	708	1039	1369	1652	1652	1929	3500	3500
	4500	0	14	28	43	57	71	90	378	708	1039	1369	1717	1620	1929	3500	3500
	4515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
