Map "Bosch II 16" (24x16)

-(-,-)/-

		-																							
		0	70	120	150	180	220	270	320	400	600	1000	1400	1800	2200	2500	2800	3100	3400	3600	3800	4000	4400	5000	7000
-	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1200	0	651	802	879	939	1018	1107	1192	1313	1588	2036	2412	2782	3250	3673	4126	4579	5033	5335	5637	5939	6543	8000	8000
	2000	0	390	481	527	563	611	664	715	788	953	1222	1447	1658	1942	2204	2476	2748	3020	3201	3382	3563	3926	4470	6168
	2500	0	297	383	414	444	501	538	574	632	767	999	1191	1380	1567	1777	2013	2246	2479	2634	2790	2945	3256	3722	5136
	3000	0	270	334	367	391	421	462	508	553	659	857	1036	1201	1362	1499	1717	1921	2120	2252	2384	2516	2781	3177	4384
	4000	0	260	270	305	334	357	379	403	453	542	683	828	959	1086	1202	1355	1515	1687	1802	1919	2036	2269	2620	3615
	5000	0	245	245	260	289	318	346	365	389	467	588	708	821	925	1003	1129	1284	1424	1519	1624	1729	1939	2255	3111
	6000	0	225	225	225	255	290	320	339	362	415	523	621	724	816	878	954	1115	1247	1327	1409	1513	1698	1977	2728
	7000	0	220	220	220	231	270	300	322	345	385	486	575	667	751	806	863	972	1120	1200	1265	1342	1519	1755	2421
	8000	0	215	215	215	222	256	287	311	335	372	463	545	631	710	761	810	881	1017	1103	1176	1237	1385	1640	2263
	9000	0	210	210	210	212	240	276	300	324	361	444	522	604	677	726	770	833	928	1022	1098	1164	1282	1510	2083
	10000	0	205	205	205	205	229	262	287	313	347	416	490	564	639	688	735	783	854	941	1023	1095	1208	1418	1956
	11000	0	200	200	200	200	220	257	281	305	339	399	463	532	604	654	711	750	789	844	945	1030	1147	1326	1829
	12000	0	195	195	195	195	201	248	272	296	330	386	445	504	574	627	672	712	750	810	874	947	1096	1261	1740
	14000	0	190	190	190	190	190	241	261	282	316	359	414	465	533	578	621	659	693	722	767	841	983	1151	1588
	17000	0	172	172	172	172	172	226	241	260	290	331	379	417	476	520	560	598	632	652	672	726	846	1024	1413
