Map "Bosch II 16" (16x16)

-(-,-)/-

		-															
		2500	3000	3500	3750	4000	4250	4500	4750	5000	5500	6000	6500	7000	7500	8500	9000
-	800	780	800	920	940	990	1100	1100	1100	1100	1100	1100	1100	1100	1100	1142	1142
	900	780	800	924	927	979	1100	1100	1100	1100	1100	1100	1100	1100	1100	1142	1088
	1000	1250	1250	1250	1250	1250	1250	1150	1100	1100	1100	1100	1100	1100	1100	1142	1088
	1250	1250	1250	1250	1250	1250	1250	1203	1160	1130	1130	1132	1100	1100	1100	1142	1088
	1500	1250	1250	1250	1250	1250	1250	1250	1250	1150	1150	1150	1100	1100	1100	1142	1088
	1750	1270	1270	1270	1270	1270	1270	1270	1270	1270	1234	1200	1170	1150	1125	1080	1080
	2000	1300	1300	1300	1300	1300	1300	1300	1300	1300	1270	1230	1198	1176	1120	1080	1080
	2250	1320	1320	1320	1320	1320	1320	1320	1320	1320	1290	1244	1200	1177	1124	1080	1080
	2500	1340	1340	1340	1340	1340	1340	1340	1340	1340	1310	1250	1200	1177	1130	1120	1120
	2750	1380	1380	1380	1380	1380	1380	1380	1380	1380	1380	1339	1305	1276	1140	1140	1123
	3000	1320	1320	1320	1320	1320	1320	1320	1320	1320	1320	1320	1300	1260	1130	1160	1160
	3250	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1307	1130	1170	1170
	3500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1330	1157	1190	1190
	3750	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1352	1166	1200	1200
	4000	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1350	1180	1130	1200	1200
	4250	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1500	1400	1280	1180	1230	1230
