Map "Bosch II 16" (16x16)

-(-,-)/-

		-															
		0	170	340	510	680	850	1020	1190	1360	1550	1840	2280	3000	3700	4200	7000
-	600	220	220	220	220	220	260	300	319	330	331	340	349	375	397	397	400
	750	253	253	253	253	253	309	368	385	396	404	413	422	440	457	457	460
	850	275	275	275	275	275	342	413	429	439	452	461	471	483	497	497	500
	1000	333	342	313	353	416	477	496	522	543	507	523	530	588	600	600	600
	1250	368	388	420	450	535	620	645	667	610	620	620	720	820	820	820	820
	1500	428	441	485	500	598	668	771	845	861	861	881	981	1050	1082	1050	1050
	1750	462	459	487	505	609	674	815	906	938	944	976	1076	1175	1210	1225	1225
	2000	450	398	423	505	609	674	815	906	948	976	1038	1138	1237	1274	1337	1337
	2250	435	356	369	394	508	580	790	886	927	964	1049	1171	1267	1308	1420	1420
	2500	438	341	332	360	434	539	768	842	891	948	1034	1183	1296	1373	1477	1477
	2750	403	336	321	341	411	523	686	765	834	899	997	1166	1259	1361	1550	1550
	3000	395	383	395	410	434	494	550	605	729	838	941	1074	1150	1257	1600	1600
	3250	395	405	415	430	444	466	488	543	681	793	938	1014	1110	1231	1660	1660
	3500	396	406	416	426	433	444	464	515	658	778	956	1014	1099	1226	1700	1700
	4000	396	411	416	421	428	434	453	514	628	764	971	1034	1125	1277	1700	1700
	4500	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1700	1700
