Map "Bosch II 16" (16x16)

-(-,-)/-

		-															
		0	170	300	510	680	850	1020	1290	1460	1800	2140	2480	2820	3160	4000	5000
-	600	-0.23	-0.21	 0.07	-0.49	-0.09	 0.00	 0.00	 0.00	 1.01	 1.99	 1.99	 1.99	 1.01	 1.01	 0.00	 0.00
	750	-0.23	-0.21	 0.07	-0.80	-0.21	 0.00	 0.00	 0.00	 1.01	 1.99	 1.99	 1.99	 1.01	 1.01	 0.00	 0.00
	1000	 0.91	 0.77	-0.33	-1.80	-1.20	-0.61	-0.09	 0.00	 1.01	 1.99	 1.99	 1.99	 0.49	 0.00	 0.00	 0.00
	1250	 1.52	 1.50	-1.80	-2.41	-1.62	-0.70	 0.09	 1.01	 1.57	 1.99	 1.99	 2.32	 2.48	 2.51	 2.51	 2.51
	1500	 1.52	 1.50	-1.71	-2.02	-1.03	 0.07	 0.68	 1.41	 1.71	 1.90	 1.99	 2.39	 2.48	 2.79	 3.28	 3.77
	1750	 1.17	 1.13	-0.96	-1.62	-0.61	 0.59	 1.29	 2.11	 2.70	 2.79	 2.91	 3.30	 3.61	 3.40	 3.49	 3.98
	2000	 0.80	 0.75	 0.23	-1.10	-0.09	 1.10	 2.11	 3.21	 3.98	 4.38	 4.71	 4.90	 5.11	 4.71	 5.58	 7.50
	2250	 1.29	 0.89	 1.22	 0.42	 1.10	 2.11	 3.09	 4.10	 5.11	 5.51	 6.00	 6.70	 7.20	 7.41	 7.69	 9.80
	2500	 2.30	 2.39	 2.55	 2.39	 3.00	 3.89	 4.71	 5.93	 6.94	 7.41	 7.99	 9.00	 9.61	 10.10	 10.08	 12.47
	2750	 3.14	 3.45	 3.70	 3.89	 4.71	 5.39	 6.30	 7.52	 8.32	 9.02	 9.49	 10.52	 11.02	 11.30	 12.47	 14.46
	3000	 6.07	 6.66	 6.96	 7.05	 7.36	 7.80	 8.53	 9.23	 9.54	 10.05	 10.59	 11.04	 11.44	 11.79	 13.50	 16.50
	3250	 7.03	 7.52	 8.09	 8.27	 8.70	 9.54	 10.20	 10.76	 11.11	 11.81	 12.38	 12.91	 13.57	 14.27	 16.17	 18.47
	3500	 7.31	 7.88	 8.77	 9.05	 9.66	 10.55	 11.46	 11.88	 12.38	 13.05	 13.64	 14.34	 15.31	 16.50	 18.00	 20.46
	3750	 6.75	 7.52	 8.58	 9.21	 10.01	 10.95	 11.79	 12.33	 12.96	 13.69	 14.27	 15.02	 16.43	 18.70	 20.09	 22.50
	4000	 6.19	 7.15	 8.41	 9.35	 10.36	 11.34	 12.09	 12.75	 13.57	 14.32	 14.91	 15.70	 17.53	 20.88	 22.17	 24.47
	4250	 6.70	 7.73	 9.21	 9.68	 11.13	 12.07	 13.03	 13.85	 14.79	 15.73	 16.43	 17.20	 19.92	 25.27	 26.48	 27.98
