DW1 (16x16)

-(throttle,rpm)/-

		%															
		0	5	10	15	20	25	30	35	40	45	50	60	70	84	85	100
rpm	500	0	702	1146	1220	1220	1220	1220	1220	1220	1220	1220	1220	1220	1220	1920	1920
	700	0	434	934	1257	1270	1270	1270	1270	1270	1270	1270	1270	1270	1270	1970	1970
	1000	0	36	537	984	1230	1230	1230	1230	1230	1230	1230	1230	1230	1230	1930	1930
	1250	0	0	210	711	1213	1698	1700	1700	1700	1700	1700	1700	1700	1700	2400	2400
	1500	0	0	0	390	890	1392	1823	2200	2200	2200	2200	2200	2200	2200	2900	2900
	1750	0	0	0	72	574	1074	1575	1975	2190	2400	2400	2400	2400	2400	3100	3100
	2000	0	0	0	0	260	762	1262	1747	2138	2403	2400	2400	2400	2400	3100	3100
	2250	0	0	0	0	0	453	954	1455	1900	2357	2360	2360	2360	2360	3060	3060
	2500	0	0	0	0	0	149	650	1151	1645	2062	2310	2310	2310	2310	3010	3010
	2750	0	0	0	0	0	0	350	851	1368	1808	2260	2260	2260	2260	2960	2960
	3000	0	0	0	0	0	0	55	556	1048	1558	2001	2200	2200	2200	2900	2900
	3500	0	0	0	0	0	0	0	0	440	982	1482	2001	2090	2090	2790	2790
	4000	0	0	0	0	0	0	0	0	0	422	923	1520	1900	1900	2600	2600
	4500	0	0	0	0	0	0	0	0	0	0	382	1021	1620	1620	2320	2320
	5100	0	0	0	0	0	0	0	0	0	0	0	417	900	900	900	900
	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
