lambda (16x16)

-(airflow,rpm)/-

		mg/cyc															
		250	300	350	400	450	500	525	550	575	600	650	700	750	800	850	950
rpm	800	780	800	920	990	1073	1073	1073	1073	1073	1073	1073	1073	1073	1073	1073	1073
	900	780	800	924	979	1073	1073	1073	1073	1073	1073	1073	1073	1073	1073	1073	1073
	1000	1250	1310	1341	1260	1220	1130	1130	1130	1130	1130	1130	1130	1130	1130	1130	1130
	1170	1250	1310	1368	1315	1284	1143	1122	1123	1117	1109	1110	1114	1128	1118	1116	1109
	1250	1250	1380	1380	1350	1350	1230	1143	1130	1132	1120	1120	1120	1129	1127	1120	1120
	1370	1250	1380	1380	1360	1369	1270	1226	1182	1182	1162	1140	1140	1140	1140	1136	1133
	1500	1250	1376	1376	1362	1363	1323	1290	1239	1239	1239	1175	1169	1156	1151	1130	1130
	1750	1270	1330	1348	1351	1358	1349	1361	1354	1328	1307	1271	1257	1215	1154	1130	1125
	2000	1300	1300	1333	1360	1360	1360	1361	1351	1326	1302	1270	1257	1242	1165	1140	1140
	2250	1320	1320	1333	1371	1380	1380	1368	1356	1333	1310	1275	1264	1251	1225	1191	1161
	2500	1353	1353	1353	1365	1395	1427	1405	1383	1357	1330	1304	1290	1270	1265	1225	1200
	2750	1380	1380	1380	1380	1403	1440	1424	1419	1393	1365	1356	1348	1329	1336	1292	1306
	3000	1420	1420	1420	1420	1420	1420	1434	1438	1408	1382	1385	1371	1346	1350	1320	1320
	3500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1470	1400	1390	1379	1379
	4000	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1485	1400	1380	1380
	4500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1480	1450	1400	1380	1380
