base map for torque to q conversion as function of working point (16x16)

injection mass per cycle (mg/cycle)(inner torque set value,average engine speed)/mg/cyc

		Nm															
		0.000	10.000	20.000	35.000	50.000	75.000	100.000	125.000	150.000	175.000	200.000	225.000	250.000	275.000	300.000	450.000
rpm	250.00	 0.0000	 2.0000	 4.1200	 7.5300	 10.9500	 16.9100	 22.8600	 28.8200	 34.7800	 40.7300	 46.6900	 52.6400	 58.6000	 64.5600	 70.2400	 105.3600
	500.00	 0.0000	 1.8600	 3.9800	 6.8900	 10.2900	 15.7000	 21.6000	 27.4200	 33.2100	 39.1100	 44.9700	 51.1300	 57.4800	 62.8900	 68.1300	 102.2000
	750.00	 0.0000	 4.4300	 5.7400	 8.2600	 10.7000	 14.8500	 20.1100	 25.4600	 31.3200	 36.9200	 42.4400	 48.4900	 54.5600	 60.2000	 64.5700	 96.8600
	1000.00	 0.0000	 2.5500	 4.6300	 7.6100	 10.1500	 14.3600	 18.3700	 23.9700	 29.3400	 34.7800	 40.3300	 46.1200	 52.0100	 55.7000	 61.8000	 91.7000
	1250.00	 0.0000	 2.3700	 3.9100	 6.5100	 9.4000	 13.2700	 17.6200	 23.6900	 28.2300	 33.0900	 38.4600	 43.8900	 49.5700	 53.8100	 58.8000	 87.3600
	1500.00	 0.0000	 1.7000	 2.9900	 5.8000	 7.3600	 11.3300	 16.6000	 21.0800	 25.6800	 30.4900	 35.6900	 41.2300	 46.6500	 51.8000	 55.8000	 84.9100
	1750.00	 0.0000	 1.9600	 3.9000	 5.7400	 8.1300	 11.4300	 16.0000	 19.6900	 23.9700	 29.1600	 34.3100	 38.9700	 43.6800	 49.0000	 54.7400	 83.9600
	2000.00	 0.0000	 2.0200	 3.2400	 5.5000	 7.8000	 12.1000	 15.7400	 20.0000	 24.3000	 28.9400	 33.5900	 37.2400	 41.6400	 48.4800	 55.0000	 84.4600
	2250.00	 0.0000	 2.0600	 3.9000	 6.2600	 8.9500	 12.5000	 15.6300	 19.8400	 24.7900	 29.4900	 33.0300	 37.8700	 42.5800	 48.5000	 55.8000	 86.4200
	2500.00	 0.0000	 2.1000	 4.9000	 7.4200	 10.0900	 13.3600	 17.8400	 22.0600	 26.4000	 30.4500	 34.0800	 37.9800	 42.4800	 48.9700	 56.8200	 88.6000
	2750.00	 0.0000	 2.1500	 3.5000	 5.4900	 8.7300	 13.5100	 15.9300	 20.1400	 24.4100	 28.7800	 33.2000	 37.8300	 42.5300	 50.0000	 58.1500	 90.8900
	3000.00	 0.0000	 2.2000	 4.5500	 7.1600	 10.4200	 13.5700	 17.4500	 21.4500	 26.6300	 30.6900	 34.2700	 38.4600	 43.3600	 51.1500	 59.3500	 93.3000
	3500.00	 0.0000	 2.2600	 4.1700	 6.3000	 8.4100	 12.3000	 18.0300	 22.1700	 26.4100	 31.3400	 35.0600	 39.9500	 44.7700	 54.0000	 61.8900	 98.9000
	4000.00	 0.0000	 2.3000	 4.8900	 7.3800	 10.1300	 14.1800	 17.4300	 22.3200	 27.0700	 31.8200	 36.5000	 41.3600	 46.3000	 55.7200	 63.6900	 101.4000
	4500.00	 0.0000	 2.3300	 4.3400	 7.4200	 9.3200	 13.6500	 18.8600	 25.3800	 28.9000	 32.9200	 37.8200	 42.8100	 48.0100	 56.4600	 64.5700	 103.0700
	5000.00	 0.0000	 2.3500	 4.3700	 7.3800	 9.8800	 14.7200	 17.8000	 22.6400	 28.0300	 33.1900	 38.1200	 43.0100	 48.6100	 56.3600	 64.6800	 103.4500
