railpress (16x16)

railpress(IQ,rpm)/bar

		mg/cyc															
		0.0	1.7	3.4	5.1	6.8	8.5	10.2	11.9	13.6	15.5	18.4	22.8	30.0	37.0	42.0	70.0
rpm	600	220	220	220	220	220	260	300	319	330	331	340	349	375	397	397	400
	750	253	253	253	253	253	309	368	385	396	404	413	422	440	457	457	460
	850	275	275	275	275	275	342	413	429	439	452	461	471	483	497	497	500
	1000	333	342	313	353	416	477	496	522	543	507	523	530	588	600	600	600
	1250	368	388	420	450	535	620	645	667	610	620	620	720	820	820	820	820
	1500	428	441	485	500	598	668	771	845	830	830	850	950	1050	1050	1050	1050
	1750	462	459	487	505	609	674	805	906	937	943	975	1075	1175	1175	1175	1175
	2000	450	398	423	505	609	674	805	906	947	975	1037	1137	1237	1237	1237	1237
	2250	435	356	369	394	508	580	780	886	926	963	1048	1170	1267	1270	1270	1270
	2500	438	341	332	360	434	539	758	842	890	947	1033	1182	1296	1333	1333	1327
	2750	403	336	321	341	411	523	676	765	833	898	996	1166	1259	1322	1352	1400
	3000	395	383	395	410	434	494	540	605	728	837	941	1073	1155	1220	1360	1450
	3250	395	405	415	430	444	466	478	543	680	792	938	1013	1110	1195	1385	1510
	3500	396	406	416	426	433	444	454	515	657	777	955	1013	1099	1190	1420	1600
	4000	396	411	416	421	428	434	443	514	627	763	970	1033	1125	1240	1600	1600
	4500	412	427	437	447	453	456	463	524	625	755	980	1070	1180	1300	1600	1600
