2nd base value map of start of energising MI1 (16x16)

crankshaft angle(current injection quantity,average engine speed)/deg CrS

		mg/cyc															
		0.0000	1.7000	3.0000	5.1000	6.8000	8.5000	9.5000	11.0000	12.9000	14.6000	18.0000	21.4000	24.8000	31.4000	38.0000	50.0000
rpm	600.00	-0.2344	-0.2109	 0.0703	-0.4922	-0.0937	 0.0000	 0.0000	 0.0000	 1.0078	 1.9922	 1.9922	 1.9922	 1.0078	 1.0078	 0.0000	 0.0000
	750.00	-0.2344	-0.2109	 0.0703	-0.7969	-0.2109	 0.0000	 0.0000	 0.0000	 1.0078	 1.9922	 1.9922	 1.9922	 1.0078	 1.0078	 0.0000	 0.0000
	1000.00	 0.9141	 0.7734	-0.3281	-1.8047	-1.1953	-0.6094	-0.0937	 0.0000	 1.0078	 1.9922	 1.9922	 1.9922	 0.4922	 0.0000	 0.0000	 0.0000
	1250.00	 1.5234	 1.5000	-1.8047	-2.4141	-1.6172	-0.7031	 0.0937	 1.0078	 1.5703	 1.9922	 1.9922	 2.3203	 2.4844	 2.5078	 2.5078	 2.5078
	1500.00	 1.5234	 1.5000	-1.7109	-2.0156	-1.0312	 0.0703	 0.6797	 1.4062	 1.7109	 1.8984	 1.9922	 2.3906	 2.4844	 2.7891	 3.2812	 3.2812
	1750.00	 1.1719	 1.1250	-0.9609	-1.6172	-0.6094	 0.5859	 1.2891	 2.1094	 2.6953	 2.7891	 2.9062	 3.3047	 3.6094	 3.3984	 3.4922	 3.4922
	2000.00	 0.7969	 0.7500	 0.2344	-1.1016	-0.0937	 1.1016	 2.1094	 3.2109	 3.9844	 4.3828	 4.7109	 4.8984	 5.1094	 4.7109	 5.6016	 5.6016
	2250.00	 1.2891	 0.8906	 1.2187	 0.4219	 1.1016	 2.1094	 3.0937	 4.1016	 5.1094	 5.5078	 6.0000	 6.7031	 7.1953	 7.4062	 7.7109	 7.7109
	2500.00	 2.2969	 2.3906	 2.5547	 2.3906	 3.0000	 3.8906	 4.7109	 5.9297	 6.9375	 7.4062	 7.9922	 9.0000	 9.6094	 10.1016	 10.1016	 10.1016
	2750.00	 3.1406	 3.4453	 3.7031	 3.8906	 4.7109	 5.3906	 6.3047	 7.5234	 8.3203	 9.0234	 9.4922	 10.5234	 11.0156	 11.2969	 10.1953	 10.1953
	3000.00	 6.0703	 6.6562	 6.9609	 7.0547	 7.3594	 7.8047	 8.5312	 9.2344	 9.5391	 10.0547	 10.5937	 11.0391	 11.4375	 11.7891	 12.6094	 12.6094
	3250.00	 7.0312	 7.5234	 8.0859	 8.2734	 8.6953	 9.5391	 10.1953	 10.7578	 11.1094	 11.8125	 12.3750	 12.9141	 13.5703	 14.2734	 16.1953	 16.1953
	3500.00	 7.3125	 7.8750	 8.7656	 9.0469	 9.6562	 10.5469	 11.4609	 11.8828	 12.3750	 13.0547	 13.6406	 14.3437	 15.3047	 16.5000	 18.0000	 18.0000
	3750.00	 6.7500	 7.5234	 8.5781	 9.2109	 10.0078	 10.9453	 11.7891	 12.3281	 12.9609	 13.6875	 14.2734	 15.0234	 16.4297	 18.7031	 20.0859	 20.0859
	4000.00	 6.1875	 7.1484	 8.4141	 9.3516	 10.3594	 11.3437	 12.0937	 12.7500	 13.5703	 14.3203	 14.9062	 15.7031	 17.5312	 20.8828	 22.1953	 22.1953
	4500.00	 6.7031	 7.7344	 9.2109	 9.6797	 11.1328	 12.0703	 13.0312	 13.8516	 14.7891	 15.7266	 16.4297	 17.2031	 19.9219	 25.2656	 26.5078	 26.5078
