RPM \ IQ;0.0;1.7;3.0;5.1;6.8;8.5;9.5;11.0;12.9;14.6;18.0;21.4;24.8;31.4;38.0;50.0
600;-0.23;-0.21;0.07;-0.49;-0.09;0.0;0.0;0.0;1.01;1.9;1.72;1.53;0.69;0.51;0.0;0.0
750;-0.23;-0.21;0.07;-0.8;-0.21;0.0;0.0;0.0;1.01;1.9;1.72;1.53;0.69;0.51;0.0;0.0
1000;0.91;0.77;-0.33;-1.8;-1.2;-0.61;-0.09;0.0;1.01;1.9;1.72;1.53;0.33;0.0;0.0;0.0
1250;2.02;2.0;-1.3;-1.91;-1.12;-0.2;0.59;1.51;2.07;2.06;2.2;2.59;2.81;3.0;3.18;3.5
1500;2.02;2.0;-1.21;-1.52;-0.53;0.57;1.18;1.91;2.21;2.02;2.34;2.87;3.13;3.64;4.11;4.5
1750;1.67;1.62;-0.46;-1.12;-0.11;1.09;1.79;2.61;3.2;2.91;3.27;3.8;4.22;4.45;4.85;5.5
2000;0.8;0.75;0.23;-1.1;-0.09;1.1;2.11;3.21;3.98;4.48;4.96;5.27;5.56;5.6;6.21;6.5
2250;1.29;0.89;1.22;0.42;1.1;2.11;3.09;4.1;5.11;5.56;6.07;6.65;6.98;6.5;6.5;6.5
2500;2.3;2.39;2.55;2.39;3.0;3.89;4.71;5.93;6.94;7.39;7.85;8.54;8.77;7.0;7.0;7.0
2750;3.14;3.45;3.7;3.89;4.71;5.39;6.3;7.52;8.32;8.95;9.22;9.83;9.89;7.5;7.5;7.5
3000;6.07;6.66;6.96;7.05;7.36;7.8;8.53;9.23;9.54;10.0;10.37;10.57;10.66;9.0;9.0;9.0
3250;7.03;7.52;8.09;8.27;8.7;9.54;10.2;10.76;11.11;11.73;12.04;12.24;12.42;10.0;10.0;10.0
3500;7.31;7.87;8.77;9.05;9.66;10.55;11.46;11.88;12.37;12.96;13.28;13.57;13.92;11.0;11.0;11.0
3750;6.75;7.52;8.58;9.21;10.01;10.95;11.79;12.33;12.96;13.61;13.96;14.33;15.01;12.0;12.0;12.0
4000;6.19;7.15;8.41;9.35;10.36;11.34;12.09;12.75;13.57;14.26;14.65;15.08;16.08;13.0;13.0;13.0
4500;6.7;7.73;9.21;9.68;11.13;12.07;13.03;13.85;14.79;15.7;16.23;16.7;18.34;15.0;15.0;15.0
