time(ms);FP(%);FRT(°C);FRP.OBDII(kPa);IAT.OBDII(°C);MAF.OBDII(g/s);MAP.OBDII(kPa);RPM(1/min);TORQUE(Nm);VBCV(%)
0;33.95;-;-;-;-;-;-;-;-
0;33.93;39;-;-;-;-;-;-;-
50;33.90;39;45370.0;-;-;-;-;-;-
99;33.87;39;45420.0;22;-;-;-;-;-
148;33.85;39;45470.0;22;16.22;-;-;-;-
199;33.83;39;45520.0;22;16.21;102.0;-;-;-
248;33.80;39;45570.0;22;16.21;102.0;1168;-;-
299;33.77;39;45610.0;22;16.20;102.0;1168;12.0;-
351;33.75;39;45660.0;22;16.19;102.0;1168;12.0;56.59
398;33.72;39;45710.0;22;16.19;102.0;1167;12.0;55.75
448;34.53;39;45760.0;22;16.18;101.0;1167;12.0;54.92
498;35.34;39;45810.0;22;16.17;101.0;1167;12.0;54.08
550;36.15;39;44920.0;22;16.17;101.0;1167;8.0;53.25
598;36.95;39;44020.0;22;16.16;101.0;1167;8.0;52.42
649;37.76;39;43130.0;22;16.10;101.0;1166;8.0;51.58
698;38.57;39;42240.0;22;16.04;101.0;1166;8.0;50.75
748;39.38;39;41340.0;22;15.98;101.0;1165;8.0;49.91
798;40.18;39;40450.0;22;15.92;101.0;1165;8.0;49.08
849;40.99;39;39560.0;22;15.87;101.0;1164;8.0;49.15
900;40.29;39;38660.0;22;15.81;100.0;1163;4.0;49.22
949;39.59;39;37770.0;22;15.75;100.0;1163;4.0;49.28
999;38.89;39;37020.0;22;15.69;100.0;1162;4.0;49.35
1050;38.19;39;36270.0;22;15.63;100.0;1161;4.0;49.41
1099;37.48;39;35530.0;22;15.62;100.0;1161;0.0;49.48
1148;36.78;40;34780.0;22;15.61;100.0;1160;0.0;49.55
1200;36.08;40;34030.0;22;15.59;100.0;1160;0.0;49.62
1250;35.38;40;33280.0;22;15.58;100.0;1160;4.0;49.68
1300;34.68;40;32540.0;22;15.57;100.0;1159;4.0;54.53
1350;34.40;40;31790.0;22;15.56;100.0;1159;8.0;59.38
1400;34.12;40;31040.0;22;15.54;100.0;1159;8.0;64.24
1450;33.83;40;31840.0;22;15.53;100.0;1159;12.0;69.09
1496;33.55;40;32630.0;22;15.52;100.0;1159;12.0;73.94
1547;33.27;40;33430.0;22;15.77;100.0;1158;16.0;78.79
1597;32.99;40;34230.0;22;16.03;100.0;1158;16.0;83.64
1649;32.71;40;35020.0;22;16.28;101.0;1160;20.0;88.49
1697;32.42;40;35820.0;22;16.53;101.0;1161;28.0;93.34
1749;32.14;40;36620.0;22;16.79;102.0;1162;40.0;93.37
1798;32.18;40;37410.0;22;17.04;102.0;1164;48.0;93.40
1848;32.22;40;38210.0;22;17.29;103.0;1165;60.0;93.43
1899;32.26;40;41030.0;22;17.55;103.0;1167;68.0;93.46
1951;32.30;40;43850.0;22;17.80;104.0;1168;80.0;93.49
1998;32.34;40;46680.0;22;18.04;104.0;1170;88.0;93.52
2048;32.38;39;49500.0;22;18.29;105.0;1171;100.0;93.54
2100;32.42;39;52320.0;22;18.53;106.0;1174;108.0;93.57
2148;32.46;39;55140.0;22;18.78;107.0;1176;112.0;93.60
2198;32.50;39;57970.0;22;19.02;108.0;1179;116.0;93.59
2248;32.46;39;60790.0;22;19.27;109.0;1181;116.0;93.57
2298;32.40;39;63610.0;22;19.51;110.0;1184;120.0;93.56
2348;32.35;39;64140.0;22;19.76;111.0;1186;124.0;93.54
2397;32.30;39;64670.0;22;20.00;112.0;1189;128.0;93.53
2448;32.25;39;65200.0;22;20.31;113.0;1192;128.0;93.52
2497;32.20;39;65730.0;22;20.61;114.0;1194;132.0;93.50
2550;32.15;39;66270.0;22;20.92;115.0;1198;136.0;93.49
2597;32.10;39;66800.0;22;21.22;116.0;1202;140.0;93.47
2648;32.05;39;67330.0;22;21.53;117.0;1206;140.0;93.25
2697;32.06;39;67860.0;22;21.83;119.0;1211;144.0;93.03
2748;32.06;39;68390.0;22;22.14;120.0;1215;144.0;92.81
2799;32.07;39;68900.0;22;22.44;121.0;1219;148.0;92.59
2846;32.07;39;69400.0;22;22.75;122.0;1223;148.0;92.37
2901;32.08;39;69910.0;22;23.04;123.0;1227;152.0;92.14
2951;32.09;39;70420.0;22;23.33;124.0;1231;152.0;91.93
2998;32.09;39;70920.0;22;23.62;126.0;1235;156.0;91.70
3049;32.10;39;71430.0;22;23.91;127.0;1240;156.0;91.48
3099;32.10;39;71940.0;22;24.20;128.0;1244;160.0;91.72
3147;32.08;39;72440.0;22;24.49;130.0;1248;160.0;91.95
3198;32.05;39;72950.0;22;24.78;131.0;1252;160.0;92.19
3249;32.03;39;73410.0;22;25.07;132.0;1256;164.0;92.42
3299;32.00;39;73870.0;22;25.36;134.0;1261;164.0;92.66
3347;31.98;39;74330.0;22;25.67;135.0;1265;164.0;92.90
3400;31.96;39;74790.0;22;25.98;136.0;1269;168.0;93.13
3448;31.93;39;75240.0;22;26.29;138.0;1273;168.0;93.37
3499;31.91;39;75700.0;22;26.60;139.0;1277;172.0;93.60
3547;31.88;39;76160.0;22;26.92;140.0;1280;172.0;93.40
3599;31.79;39;76620.0;22;27.23;142.0;1284;176.0;93.20
3650;31.70;39;77080.0;22;27.54;143.0;1288;176.0;93.00
3698;31.60;39;77850.0;22;27.85;144.0;1292;180.0;92.80
3750;31.51;39;78620.0;22;28.16;146.0;1296;180.0;92.61
3801;31.41;39;79390.0;22;28.59;147.0;1299;184.0;92.41
3849;31.32;40;80160.0;22;29.02;149.0;1303;184.0;92.21
3898;31.23;40;80940.0;22;29.46;150.0;1309;188.0;92.01
3949;31.13;40;81710.0;22;29.89;152.0;1315;192.0;91.81
3998;31.04;40;82480.0;22;30.32;154.0;1321;192.0;91.90
4050;31.05;40;83250.0;22;30.75;155.0;1328;196.0;91.99
4098;31.06;40;84020.0;22;31.19;157.0;1334;196.0;92.08
4152;31.08;40;84790.0;22;31.62;159.0;1340;200.0;92.17
4199;31.09;40;85560.0;22;32.05;160.0;1346;200.0;92.26
4252;31.10;40;86340.0;22;32.61;162.0;1352;204.0;92.35
4298;31.12;40;87110.0;22;33.16;164.0;1358;204.0;92.44
4352;31.13;40;87880.0;22;33.72;166.0;1366;208.0;92.53
4399;31.14;40;88650.0;22;34.27;168.0;1373;212.0;92.62
4447;31.16;40;89430.0;22;34.83;170.0;1381;212.0;92.73
4501;31.13;40;90200.0;22;35.38;173.0;1389;216.0;92.84
4547;31.11;40;90970.0;22;35.94;175.0;1396;216.0;92.95
4599;31.09;40;91670.0;22;36.49;177.0;1404;220.0;93.06
4649;31.07;40;92370.0;22;37.05;179.0;1412;220.0;93.17
4697;31.05;40;93070.0;22;37.73;181.0;1419;224.0;93.27
4747;31.02;40;93770.0;22;38.41;183.0;1427;224.0;93.38
4800;31.00;40;94470.0;22;39.09;186.0;1434;228.0;93.49
4848;30.98;40;95170.0;22;39.77;188.0;1441;232.0;93.60
4899;30.96;40;95870.0;22;40.44;190.0;1448;232.0;93.58
4949;30.89;40;96570.0;22;41.12;193.0;1455;236.0;93.56
4998;30.83;40;97270.0;22;41.80;195.0;1462;236.0;93.54
5048;30.76;40;98110.0;22;42.48;197.0;1469;240.0;93.52
5100;30.69;40;98960.0;22;43.16;200.0;1476;240.0;93.50
5151;30.62;40;99800.0;22;43.99;202.0;1483;244.0;93.48
5198;30.55;39;100650.0;22;44.83;205.0;1490;244.0;93.45
5249;30.48;39;101490.0;22;45.66;207.0;1498;248.0;93.43
5298;30.42;39;102340.0;22;46.49;210.0;1506;248.0;93.41
5349;30.35;39;103180.0;22;47.33;212.0;1513;252.0;90.45
5399;30.35;39;104030.0;22;48.16;215.0;1521;252.0;87.49
5448;30.35;39;104870.0;22;48.99;217.0;1529;256.0;84.53
5497;30.35;39;105400.0;22;49.83;220.0;1537;256.0;81.57
5551;30.35;39;105930.0;22;50.66;222.0;1545;260.0;78.61
5597;30.34;39;106460.0;22;51.33;225.0;1552;260.0;75.65
5649;30.34;40;106990.0;22;51.99;227.0;1560;264.0;72.69
5698;30.34;40;107520.0;22;52.66;229.0;1568;264.0;69.73
5748;30.34;40;108050.0;22;53.33;231.0;1577;264.0;66.77
5798;30.34;40;108580.0;22;53.99;233.0;1585;264.0;66.26
5849;30.33;40;109110.0;22;54.66;234.0;1593;264.0;65.74
5899;30.31;40;109640.0;22;55.33;236.0;1601;264.0;65.23
5948;30.29;40;110290.0;22;55.99;238.0;1609;268.0;64.71
5999;30.27;40;110940.0;22;56.66;240.0;1618;268.0;64.19
6049;30.26;40;111600.0;22;56.09;242.0;1626;268.0;63.67
6100;30.24;40;112250.0;22;55.52;241.0;1634;268.0;63.16
6150;30.22;40;112900.0;22;54.95;239.0;1642;268.0;62.64
6198;30.21;40;113550.0;22;54.38;238.0;1650;268.0;62.13
6249;30.19;40;114210.0;22;53.80;236.0;1658;268.0;62.85
6299;30.13;40;114860.0;22;53.23;235.0;1666;272.0;63.58
6351;30.07;40;115510.0;22;52.66;233.0;1674;272.0;64.30
6398;30.01;40;116140.0;22;52.09;232.0;1682;272.0;65.03
6449;29.95;40;116760.0;22;51.52;230.0;1690;272.0;65.75
6502;29.88;40;117390.0;22;52.30;229.0;1698;276.0;66.48
6548;29.82;40;118020.0;22;53.09;230.0;1706;276.0;67.20
6600;29.76;40;118640.0;22;53.87;230.0;1715;276.0;67.93
6648;29.70;40;119270.0;22;54.66;231.0;1723;276.0;68.65
6698;29.64;40;119900.0;22;55.44;231.0;1732;276.0;67.62
6748;29.60;40;120520.0;22;56.23;232.0;1741;280.0;66.60
6798;29.57;40;121150.0;22;57.01;232.0;1749;280.0;65.57
6850;29.53;40;121710.0;22;57.80;233.0;1758;280.0;64.54
6898;29.50;40;122260.0;22;58.58;233.0;1767;280.0;63.51
6949;29.46;40;122820.0;22;59.37;234.0;1775;284.0;62.48
7000;29.42;40;123370.0;22;60.15;235.0;1784;284.0;61.46
7050;29.39;40;123930.0;22;60.94;236.0;1793;284.0;60.43
7098;29.35;40;124480.0;22;61.73;237.0;1801;284.0;59.40
7149;29.32;40;125040.0;22;62.51;238.0;1810;284.0;58.69
7198;29.28;40;125590.0;22;63.30;240.0;1819;288.0;57.97
7248;29.24;40;126150.0;22;64.09;241.0;1827;288.0;57.26
7299;29.20;40;126440.0;22;64.87;242.0;1836;288.0;56.54
7348;29.16;40;126730.0;22;65.66;243.0;1845;288.0;55.83
7400;29.12;40;127020.0;22;66.02;244.0;1853;292.0;55.11
7447;29.09;40;127310.0;22;66.39;244.0;1862;292.0;54.40
7498;29.05;40;127590.0;22;66.75;244.0;1876;292.0;53.69
7548;29.01;40;127880.0;22;67.12;244.0;1891;292.0;52.97
7597;28.97;40;128170.0;22;67.48;244.0;1905;292.0;52.39
7651;28.97;40;128460.0;22;67.85;245.0;1919;296.0;51.81
7699;28.96;40;128750.0;22;68.21;245.0;1933;296.0;51.23
7749;28.96;40;129330.0;22;68.58;245.0;1947;296.0;50.65
7800;28.96;40;129910.0;22;68.94;245.0;1962;296.0;50.07
7846;28.95;40;130490.0;22;69.00;245.0;1976;300.0;49.49
7898;28.95;40;131070.0;22;69.05;244.0;1990;300.0;48.91
7951;28.95;40;131640.0;22;69.11;243.0;2000;300.0;48.33
7998;28.94;40;132220.0;21;69.16;242.0;2009;300.0;47.75
8046;28.94;40;132800.0;21;69.22;241.0;2019;300.0;47.79
