time(ms);FP(%);FRT(°C);FRP.OBDII(kPa);IAT.OBDII(°C);MAF.OBDII(g/s);MAP.OBDII(kPa);RPM(1/min);TORQUE(Nm);VBCV(%)
0;33.69;-;-;-;-;-;-;-;-
0;33.62;58;-;-;-;-;-;-;-
47;33.56;58;71860.0;-;-;-;-;-;-
96;33.50;58;72080.0;30;-;-;-;-;-
150;33.44;58;72300.0;30;19.38;-;-;-;-
196;33.38;58;72510.0;30;19.82;105.0;-;-;-
247;33.32;58;72730.0;30;20.27;106.0;1395;-;-
296;33.26;58;72950.0;30;20.71;107.0;1398;96.0;-
347;33.20;58;73170.0;30;21.16;109.0;1402;100.0;93.60
398;33.14;58;73380.0;30;21.60;110.0;1405;104.0;93.60
447;33.05;58;73600.0;30;22.05;111.0;1408;108.0;93.60
496;32.97;58;73820.0;30;22.49;112.0;1411;112.0;93.60
547;32.89;58;74570.0;30;22.94;114.0;1414;120.0;93.60
596;32.80;58;75320.0;30;23.38;115.0;1418;124.0;93.60
647;32.72;58;76060.0;30;23.77;116.0;1421;128.0;93.60
697;32.64;58;76810.0;30;24.15;118.0;1424;132.0;93.60
751;32.55;58;77560.0;30;24.54;119.0;1427;136.0;93.60
798;32.47;58;78310.0;30;24.93;121.0;1431;140.0;93.60
847;32.39;58;79050.0;30;25.31;122.0;1434;140.0;93.57
896;32.35;58;79800.0;30;25.70;124.0;1437;144.0;93.54
949;32.33;58;80550.0;30;26.09;125.0;1441;148.0;93.52
998;32.30;58;81300.0;30;26.47;127.0;1444;148.0;93.49
1048;32.27;58;82050.0;30;26.86;128.0;1447;152.0;93.46
1097;32.24;58;82790.0;30;27.28;130.0;1451;156.0;93.43
1148;32.21;58;83540.0;30;27.69;132.0;1454;156.0;93.40
1197;32.18;58;84290.0;30;28.11;133.0;1459;160.0;93.37
1247;32.15;58;85040.0;30;28.53;135.0;1465;164.0;93.34
1298;32.12;58;85780.0;30;28.94;136.0;1470;164.0;93.34
1347;32.03;58;86530.0;30;29.36;138.0;1475;168.0;93.33
1398;31.94;58;87280.0;30;29.78;139.0;1480;168.0;93.33
1447;31.85;58;89400.0;30;30.19;141.0;1485;172.0;93.32
1496;31.75;58;91530.0;30;30.61;142.0;1491;172.0;93.32
1549;31.66;58;93650.0;30;31.10;144.0;1496;176.0;93.31
1598;31.57;58;95770.0;30;31.59;146.0;1501;176.0;93.31
1648;31.48;58;97900.0;30;32.07;148.0;1506;180.0;93.30
1698;31.38;58;100020.0;30;32.56;150.0;1510;184.0;93.30
1747;31.29;58;102140.0;30;33.05;152.0;1515;188.0;93.23
1798;31.28;58;104270.0;30;33.54;153.0;1520;188.0;93.16
1847;31.26;58;106390.0;30;34.02;155.0;1524;192.0;93.09
1898;31.24;58;106660.0;30;34.51;157.0;1529;196.0;93.02
1949;31.23;58;106920.0;30;35.00;159.0;1534;200.0;92.96
1998;31.21;58;107190.0;30;35.64;161.0;1538;200.0;92.89
2047;31.20;58;107450.0;30;36.27;163.0;1543;204.0;92.82
2097;31.18;58;107720.0;30;36.91;165.0;1550;208.0;92.75
2148;31.16;58;107980.0;30;37.54;168.0;1556;212.0;92.68
2197;31.15;58;108250.0;30;38.18;170.0;1562;212.0;92.59
2247;31.09;58;108510.0;30;38.81;172.0;1569;216.0;92.50
2299;31.04;58;108780.0;30;39.45;174.0;1575;220.0;92.40
2347;30.98;58;109170.0;30;40.08;177.0;1582;220.0;92.31
2396;30.93;58;109550.0;30;40.72;179.0;1588;224.0;92.22
2447;30.88;58;109940.0;30;41.56;181.0;1595;228.0;92.13
2495;30.83;58;110320.0;30;42.40;184.0;1601;228.0;92.03
2545;30.77;58;110710.0;30;43.25;186.0;1608;232.0;91.94
2599;30.72;58;111090.0;30;44.09;189.0;1614;236.0;91.85
2647;30.66;58;111480.0;30;44.93;192.0;1620;240.0;89.10
2697;30.62;58;111860.0;30;45.77;194.0;1627;244.0;86.35
2745;30.56;58;112250.0;30;46.62;197.0;1633;248.0;83.60
2798;30.51;58;112800.0;30;47.46;200.0;1640;248.0;80.85
2849;30.46;58;113360.0;30;48.30;202.0;1646;252.0;78.10
2896;30.41;58;113910.0;30;49.35;205.0;1653;256.0;75.35
2949;30.36;58;114470.0;30;50.39;208.0;1659;260.0;72.60
2995;30.31;58;115020.0;30;51.44;211.0;1668;264.0;69.86
3046;30.26;58;115580.0;29;52.49;213.0;1676;264.0;67.11
3098;30.21;58;116130.0;29;53.53;216.0;1685;264.0;65.28
3146;30.28;58;116690.0;29;54.58;219.0;1694;268.0;63.45
3198;30.34;58;117240.0;29;55.63;222.0;1702;268.0;61.61
3246;30.41;58;117800.0;29;56.67;224.0;1711;268.0;59.78
3296;30.47;58;118350.0;29;57.72;227.0;1720;268.0;57.95
3346;30.54;58;118910.0;29;57.30;230.0;1728;272.0;56.12
3397;30.61;59;119460.0;29;56.88;230.0;1737;272.0;54.29
3447;30.67;59;120020.0;29;56.46;229.0;1746;272.0;52.46
3497;30.74;59;120570.0;29;56.04;229.0;1756;272.0;50.63
3546;30.80;59;121130.0;29;55.62;228.0;1765;276.0;51.29
3597;30.72;59;121680.0;29;55.20;228.0;1774;276.0;51.95
3646;30.64;59;122240.0;29;54.78;227.0;1783;276.0;52.61
3698;30.57;59;122750.0;29;54.36;227.0;1792;280.0;53.27
3747;30.49;59;123250.0;29;53.94;226.0;1802;280.0;53.93
3797;30.41;59;123760.0;29;54.38;226.0;1811;280.0;54.59
3846;30.33;58;124270.0;29;54.83;226.0;1820;284.0;55.25
3895;30.25;58;124770.0;29;55.27;226.0;1829;284.0;55.91
3946;30.17;58;125280.0;29;55.72;226.0;1837;284.0;56.56
3997;30.09;58;125790.0;29;56.16;226.0;1846;284.0;56.32
4048;30.05;58;126290.0;29;56.61;225.0;1854;288.0;56.08
4099;30.02;58;126800.0;29;57.05;225.0;1863;288.0;55.83
4146;29.98;58;127090.0;29;57.50;225.0;1871;288.0;55.59
4198;29.94;58;127380.0;29;57.94;225.0;1880;288.0;55.35
4245;29.90;58;127670.0;29;58.54;225.0;1889;292.0;55.10
4298;29.86;59;127960.0;29;59.14;226.0;1897;292.0;54.86
4346;29.82;59;128240.0;29;59.75;226.0;1908;292.0;54.61
4396;29.79;59;128530.0;29;60.35;227.0;1919;292.0;54.37
4447;29.75;59;128820.0;29;60.95;227.0;1930;292.0;53.80
4497;29.72;59;129110.0;29;61.55;228.0;1942;292.0;53.23
4550;29.68;59;129400.0;29;62.16;228.0;1953;292.0;52.67
4597;29.65;59;129910.0;29;62.76;229.0;1964;296.0;52.10
4649;29.62;59;130410.0;29;63.36;229.0;1975;296.0;51.53
4696;29.59;59;130920.0;29;63.75;230.0;1986;296.0;50.96
4746;29.56;59;131430.0;29;64.14;230.0;1997;296.0;50.40
4799;29.53;59;131930.0;29;64.53;230.0;2008;296.0;49.83
4845;29.49;59;132440.0;29;64.92;231.0;2019;296.0;49.26
4897;29.46;59;132950.0;29;65.30;231.0;2030;296.0;49.16
4947;29.40;59;133450.0;29;65.69;231.0;2041;300.0;49.05
4998;29.33;59;133960.0;29;66.08;231.0;2052;300.0;48.95
5049;29.27;59;134350.0;29;66.47;232.0;2063;300.0;48.85
5098;29.20;59;134730.0;29;66.86;232.0;2074;300.0;48.75
5147;29.14;59;135120.0;29;67.40;232.0;2085;304.0;48.64
5198;29.07;59;135510.0;29;67.94;232.0;2096;304.0;48.54
5247;29.00;59;135890.0;29;68.48;233.0;2106;304.0;48.44
5298;28.94;59;136280.0;29;69.02;233.0;2117;304.0;48.33
5347;28.87;59;136670.0;29;69.56;233.0;2127;308.0;48.21
5398;28.88;59;137050.0;29;70.10;234.0;2137;308.0;48.08
5446;28.90;59;137440.0;29;70.64;234.0;2147;308.0;47.95
5497;28.91;59;137660.0;29;71.18;234.0;2157;312.0;47.82
5547;28.92;59;137870.0;29;71.72;235.0;2168;312.0;47.70
5600;28.94;59;138090.0;29;72.14;235.0;2178;312.0;47.57
5648;28.95;59;138310.0;29;72.55;235.0;2188;316.0;47.44
5697;28.96;59;138520.0;29;72.97;235.0;2194;316.0;47.31
5748;28.98;59;138740.0;29;73.39;236.0;2199;316.0;47.18
5799;28.99;59;138960.0;29;73.80;236.0;2204;316.0;47.14
5848;28.94;59;139170.0;29;74.22;236.0;2210;316.0;47.09
5896;28.89;59;139390.0;29;74.64;236.0;2215;316.0;47.04
5947;28.84;59;139680.0;29;75.05;237.0;2221;320.0;46.99
5996;28.79;59;139970.0;29;75.47;237.0;2226;320.0;46.95
6047;28.74;59;140260.0;29;75.72;237.0;2232;320.0;46.90
6097;28.69;60;140550.0;29;75.98;237.0;2237;320.0;46.85
6147;28.64;60;140840.0;29;76.23;237.0;2245;320.0;46.80
6198;28.59;60;141130.0;29;76.48;237.0;2253;320.0;46.76
6248;28.54;60;141420.0;29;76.74;237.0;2261;320.0;46.67
6299;28.52;60;141710.0;29;76.99;238.0;2269;320.0;46.59
6349;28.50;60;142000.0;29;77.24;238.0;2277;320.0;46.50
6398;28.49;60;142170.0;29;77.50;238.0;2284;320.0;46.42
6447;28.47;60;142340.0;29;77.75;238.0;2292;320.0;46.33
6495;28.45;60;142500.0;29;78.04;238.0;2300;320.0;46.25
6549;28.44;60;142670.0;29;78.33;238.0;2308;320.0;46.16
6598;28.42;60;142840.0;29;78.62;238.0;2313;320.0;46.08
6648;28.41;60;143010.0;29;78.91;238.0;2318;320.0;45.99
6698;28.39;60;143170.0;29;79.20;238.0;2323;320.0;45.85
6748;28.42;60;143340.0;29;79.49;238.0;2328;320.0;45.72
6798;28.44;60;143510.0;29;79.78;238.0;2333;320.0;45.57
6847;28.47;60;143680.0;29;80.07;238.0;2337;316.0;45.44
6895;28.49;60;143850.0;29;80.36;238.0;2342;316.0;45.30
6947;28.52;60;144020.0;29;80.62;238.0;2347;316.0;45.16
6998;28.55;61;144190.0;29;80.88;238.0;2352;316.0;45.02
7049;28.57;61;144360.0;29;81.14;238.0;2360;316.0;44.88
7098;28.60;61;144530.0;29;81.40;239.0;2369;316.0;44.74
7146;28.63;61;144700.0;29;81.65;239.0;2377;316.0;44.60
7198;28.58;61;144870.0;29;81.91;239.0;2385;312.0;44.47
7248;28.54;61;145040.0;29;82.17;239.0;2394;312.0;44.33
7298;28.50;61;145210.0;29;82.43;240.0;2402;312.0;44.20
7348;28.46;61;145380.0;29;82.69;240.0;2410;312.0;44.06
7398;28.42;61;145550.0;29;82.95;240.0;2419;308.0;43.92
7448;28.38;60;145720.0;29;83.21;240.0;2427;308.0;43.79
7497;28.34;60;145880.0;29;83.47;240.0;2437;308.0;43.65
7548;28.30;60;146050.0;29;83.73;240.0;2446;308.0;43.51
7595;28.25;60;146220.0;29;83.98;240.0;2456;308.0;43.33
7648;28.23;60;146390.0;29;84.24;241.0;2465;304.0;43.15
7697;28.21;60;146560.0;29;84.50;241.0;2475;304.0;42.96
7745;28.20;60;146750.0;29;84.76;241.0;2484;304.0;42.78
7796;28.17;60;146940.0;29;85.02;241.0;2494;304.0;42.59
7848;28.16;60;147140.0;29;85.32;241.0;2504;300.0;42.41
7896;28.13;61;147330.0;29;85.61;241.0;2513;300.0;42.22
7950;28.12;61;147520.0;29;85.91;241.0;2520;300.0;42.04
7997;28.09;61;147710.0;29;86.21;241.0;2526;300.0;41.86
8046;28.08;61;147910.0;29;86.50;241.0;2533;300.0;41.68
8098;28.04;61;148100.0;29;86.80;241.0;2539;300.0;41.50
8148;28.00;61;148290.0;29;87.10;241.0;2546;300.0;41.33
8198;27.96;61;148460.0;29;87.39;241.0;2552;304.0;41.15
8246;27.92;61;148630.0;29;87.69;241.0;2559;304.0;40.97
8295;27.88;61;148800.0;29;87.95;241.0;2566;304.0;40.79
8349;27.85;62;148970.0;29;88.21;241.0;2572;304.0;40.62
8398;27.81;62;149130.0;29;88.47;242.0;2581;304.0;40.44
8448;27.77;62;149300.0;29;88.73;242.0;2591;304.0;40.26
8498;27.73;62;149470.0;29;88.98;242.0;2600;304.0;40.21
8547;27.70;62;149640.0;29;89.24;243.0;2609;304.0;40.15
8600;27.67;62;149810.0;29;89.50;243.0;2618;304.0;40.10
8649;27.64;62;150240.0;29;89.76;243.0;2627;300.0;40.04
8697;27.61;62;150680.0;29;90.02;244.0;2637;300.0;39.99
8747;27.58;62;151110.0;29;90.28;244.0;2646;300.0;39.94
8798;27.55;62;151550.0;29;90.53;244.0;2655;300.0;39.88
8846;27.51;62;151980.0;29;90.79;244.0;2663;300.0;39.83
8897;27.48;62;152420.0;29;91.05;244.0;2670;300.0;39.77
8948;27.45;62;152850.0;29;91.30;244.0;2677;300.0;39.68
8997;27.42;62;153290.0;29;91.56;245.0;2685;300.0;39.58
9047;27.39;62;153720.0;29;91.82;245.0;2692;300.0;39.48
9096;27.36;62;154030.0;29;92.07;245.0;2700;296.0;39.39
9148;27.33;62;154350.0;29;92.33;245.0;2707;296.0;39.29
9196;27.30;62;154660.0;29;92.67;245.0;2715;296.0;39.20
9248;27.27;63;154970.0;29;93.01;245.0;2722;296.0;39.10
9298;27.24;63;155290.0;29;93.35;245.0;2731;296.0;39.01
9348;27.21;63;155600.0;29;93.69;245.0;2740;296.0;38.91
9397;27.18;63;155910.0;29;94.03;245.0;2749;296.0;38.78
9447;27.13;63;156230.0;29;94.37;244.0;2758;296.0;38.66
9497;27.09;63;156540.0;29;94.71;244.0;2767;296.0;38.53
9547;27.04;63;156320.0;29;95.05;244.0;2776;292.0;38.40
9596;27.00;63;156110.0;29;95.39;244.0;2785;292.0;38.28
9647;26.95;63;155890.0;29;95.77;244.0;2794;292.0;38.15
9698;26.90;63;155670.0;29;96.15;244.0;2803;292.0;38.02
9751;26.86;63;155460.0;29;96.54;245.0;2810;292.0;37.89
9796;26.81;63;155240.0;29;96.92;245.0;2817;292.0;37.76
9847;26.77;63;155020.0;29;97.30;245.0;2824;292.0;37.57
9896;26.78;63;154810.0;29;97.68;246.0;2831;292.0;37.38
9947;26.80;63;154590.0;29;98.07;246.0;2838;292.0;37.19
9997;26.81;63;154880.0;29;98.45;246.0;2844;296.0;36.99
10048;26.83;63;155170.0;29;98.83;247.0;2851;296.0;36.80
10097;26.84;63;155460.0;29;99.03;247.0;2858;296.0;36.61
10147;26.86;64;155750.0;29;99.24;247.0;2865;296.0;36.41
10196;26.87;64;156040.0;29;99.44;247.0;2872;296.0;36.22
10246;26.89;64;156330.0;29;99.64;248.0;2879;296.0;36.03
10298;26.90;64;156620.0;29;99.85;248.0;2886;296.0;35.95
10346;26.90;64;156910.0;29;100.05;248.0;2894;292.0;35.86
10396;26.89;64;157200.0;29;100.25;248.0;2901;292.0;35.78
10448;26.87;64;157300.0;29;100.46;249.0;2908;292.0;35.70
10497;26.86;64;157390.0;29;100.66;249.0;2915;292.0;35.61
10548;26.86;64;157490.0;29;100.86;249.0;2922;288.0;35.53
10596;26.85;64;157580.0;29;101.07;249.0;2929;288.0;35.45
10648;26.83;64;157680.0;29;101.27;249.0;2937;288.0;35.36
10696;26.82;64;157770.0;29;101.48;249.0;2945;288.0;35.28
10749;26.82;64;157870.0;29;101.68;249.0;2952;288.0;35.13
10796;26.79;64;157960.0;29;101.89;248.0;2960;288.0;34.98
10847;26.77;64;158060.0;29;102.09;248.0;2968;288.0;34.83
10899;26.75;64;158330.0;29;102.30;248.0;2976;284.0;34.68
10949;26.72;64;158590.0;29;102.50;248.0;2984;284.0;34.53
10997;26.70;64;158860.0;29;102.80;248.0;2991;284.0;34.38
11048;26.68;66;159120.0;29;103.10;248.0;2999;284.0;34.23
11097;26.65;66;159390.0;29;103.40;248.0;3007;284.0;34.08
11147;26.63;66;159650.0;29;103.70;247.0;3015;284.0;33.93
11197;26.61;66;159920.0;29;103.99;247.0;3023;284.0;34.16
11248;26.65;66;160180.0;29;104.29;247.0;3031;280.0;34.38
11298;26.69;66;160450.0;29;104.59;247.0;3039;280.0;34.60
11348;26.73;66;160570.0;29;104.89;246.0;3046;280.0;34.82
11396;26.78;66;160690.0;29;105.19;246.0;3054;280.0;35.05
11444;26.82;66;160810.0;29;105.45;246.0;3062;276.0;35.27
11494;26.86;67;160930.0;29;105.70;246.0;3070;276.0;35.49
11548;26.90;67;161060.0;29;105.96;247.0;3077;276.0;35.72
11597;26.94;67;161180.0;29;106.22;247.0;3083;276.0;35.94
11645;26.98;67;161300.0;29;106.47;247.0;3090;276.0;35.94
11695;26.87;67;161420.0;29;106.73;248.0;3096;276.0;35.95
11749;26.75;67;161540.0;29;106.99;248.0;3103;276.0;35.95
11796;26.64;67;161660.0;29;107.24;248.0;3109;280.0;35.95
11846;26.52;67;161780.0;29;107.50;249.0;3116;280.0;35.96
11897;26.41;67;161900.0;29;107.68;249.0;3123;280.0;35.96
11947;26.29;67;162020.0;29;107.85;249.0;3129;280.0;35.96
11998;26.18;67;162140.0;29;108.03;249.0;3129;280.0;35.97
12045;26.07;67;162260.0;29;108.20;250.0;3130;252.0;35.97
12099;25.95;67;162380.0;29;108.38;250.0;3130;220.0;37.18
12148;26.82;67;162500.0;29;108.55;250.0;3130;192.0;38.39
